cap,name,nse_symbol,screener_symbol
Large,Reliance Industries,RELIANCE,RELIANCE
Large,HDFC Bank,HDFCBANK,HDFCBANK
Large,ICICI Bank,ICICIBANK,ICICIBANK
Large,Bharti Airtel,BHARTIARTL,BHARTIARTL
Large,TCS,TCS,TCS
Large,Infosys,INFY,INFY
Large,State Bank of India,SBIN,SBIN
Large,LICI,LICI,LICI
Large,ITC,ITC,ITC
Large,Hindustan Unilever,HINDUNILVR,HINDUNILVR
Large,Larsen & Toubro,LT,LT
Large,Axis Bank,AXISBANK,AXISBANK
Large,Kotak Mahindra Bank,KOTAKBANK,KOTAKBANK
Large,Bajaj Finance,BAJFINANCE,BAJFINANCE
Large,Maruti Suzuki,MARUTI,MARUTI
Large,Sun Pharma,SUNPHARMA,SUNPHARMA
Large,HCL Technologies,HCLTECH,HCLTECH
Large,NTPC,NTPC,NTPC
Large,Mahindra & Mahindra,M&M,M&M
Large,Titan Company,TITAN,TITAN
Mid,BSE,BSE,BSE
Mid,Oracle Financial Services Software,OFSS,OFSS
Mid,Solar Industries India,SOLARINDS,SOLARINDS
Mid,Polycab India,POLYCAB,POLYCAB
Mid,Dixon Technologies,DIXON,DIXON
Mid,Cummins India,CUMMINSIND,CUMMINSIND
Mid,CG Power,CGPOWER,CGPOWER
Mid,Coforge,COFORGE,COFORGE
Mid,Federal Bank,FEDERALBNK,FEDERALBNK
Mid,Indian Bank,INDIANB,INDIANB
Mid,Muthoot Finance,MUTHOOTFIN,MUTHOOTFIN
Mid,PB Fintech,POLICYBZR,POLICYBZR
Mid,Mazagon Dock Shipbuilders,MAZDOCK,MAZDOCK
Mid,Astral,ASTRAL,ASTRAL
Mid,APL Apollo Tubes,APLAPOLLO,APLAPOLLO
Mid,Persistent Systems,PERSISTENT,PERSISTENT
Mid,Max Healthcare,MAXHEALTH,MAXHEALTH
Mid,Supreme Industries,SUPREMEIND,SUPREMEIND
Mid,Sona BLW Precision Forgings,SONACOMS,SONACOMS
Mid,Bharat Forge,BHARATFORG,BHARATFORG
Small,Zensar Technologies,ZENSARTECH,ZENSARTECH
Small,HFCL,HFCL,HFCL
Small,Aegis Logistics,AEGISLOG,AEGISLOG
Small,Neuland Laboratories,NEULANDLAB,NEULANDLAB
Small,Force Motors,FORCEMOT,FORCEMOT
Small,BLS International,BLS,BLS
Small,eClerx Services,ECLERX,ECLERX
Small,Greaves Cotton,GREAVESCOT,GREAVESCOT
Small,Marksans Pharma,MARKSANS,MARKSANS
Small,Balaji Amines,BALAMINES,BALAMINES
Small,CDSL,CDSL,CDSL
Small,Delhivery,DELHIVERY,DELHIVERY
Small,Ather Energy,ATHERENERG,ATHERENERG
Small,KIMS Hospitals,KIMS,KIMS
Small,Data Patterns,DATAPATTNS,DATAPATTNS
Small,Kirloskar Oil Engines,KIRLOSENG,KIRLOSENG
Small,CAMS,CAMS,CAMS
Small,Narayana Hrudayalaya,NH,NH
Small,Karur Vysya Bank,KVBL,KVBL
